id,experience,modality,Features,Feature selection,Feature number considered,Feature number selected,feature_type,feature_dim,dim_reduction
75,RF MFCC,VHF,24 mel-frequency cepstrum coefficient (MFCC) features from I and Q waveforms,PCA,48,24,handcrafted,medium,yes
75,XGB MFCC,VHF,24 mel-frequency cepstrum coefficient (MFCC) features from I and Q waveforms,PCA,48,24,handcrafted,medium,yes
75,MLP MFCC,VHF,24 mel-frequency cepstrum coefficient (MFCC) features from I and Q waveforms,PCA,48,24,handcrafted,medium,yes
75,SVM AC/DCT+MFCC,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,RF AC/DCT+MFCC,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,XGB AC/DCT+MFCC,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,MLP AC/DCT+MFCC,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,SVM rr,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,SVM ww,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,SVM rw,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,RF rr,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,RF ww,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,RF rw,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,XGB rr,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,XGB ww,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,XGB rw,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,MLP rr,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,MLP ww,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,MLP rw,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,1D CNN rr,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,1D CNN ww,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
75,1D CNN rw,VHF,"autocorrelation (AC), discrete cosine transform (DCT), and the mel-frequency cepstrum coefficient (MFCC); (20 AC/DCT and 24 MFCC features) from I and Q waveforms",PCA,88,24,handcrafted,medium,yes
147,Right Hand Vertical Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Resilient Sit,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Resilient Stand,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Resilient Walk,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Vertical Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Horizontal Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Heart Dorsal-Ventral Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Vertical Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Horizontal Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Sternum Dorsal-Ventral Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Vertical Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Horizontal Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Right Hand Dorsal-Ventral Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Vertical Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Horizontal Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Hand Dorsal-Ventral Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Vertical Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Horizontal Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
147,Left Carotid Dorsal-Ventral Resilient Post-Exercise,SCG,cleaned time series,none,complete time series,time series,handcrafted,NA,no
